送信時刻,送信者ID,受信メールアドレス,件名,その他1,その他2
"2022/05/19 00:00:00","test01","dest01@agrex.com","THIS IS TEST","OTHER01","OTHER02"
"2022/05/19 00:00:00","test01","dest02@agrex.com","THIS IS TEST","OTHER01","OTHER02"
"2022/05/19 00:00:00","test01","dest03@agrex.com","THIS IS TEST","OTHER01","OTHER02"
"2022/05/19 00:30:00","test02","dest11@agrex.com","THIS IS TEST","OTHER01","OTHER02"
"2022/05/19 00:30:00","test02","dest12@agrex.com","THIS IS TEST","OTHER01","OTHER02"
"2022/05/20 01:00:00","test01","dest01@agrex.com","THIS IS TEST","OTHER01","OTHER02"
"2022/05/20 01:00:00","test01","dest02@agrex.com","THIS IS TEST","OTHER01","OTHER02"
"2022/05/20 01:00:00","test01","dest03@agrex.com","THIS IS TEST","OTHER01","OTHER02"
"2022/05/21 00:30:00","test01","dest11@agrex.com","THIS IS TEST","OTHER01","OTHER02"
"2022/05/21 00:30:00","test01","dest12@agrex.com","THIS IS TEST","OTHER01","OTHER02"
